Country Code,Series Name,2015 [YR2015]
AFG,Imports of goods and services (% of GDP),
AFG,Exports of goods and services (% of GDP),
AFG,Trade (% of GDP),
AFG,Merchandise exports (current US$),571000000
AFG,Commercial service exports (current US$),779433349
ALB,Imports of goods and services (% of GDP),44.53361519
ALB,Exports of goods and services (% of GDP),27.26739115
ALB,Trade (% of GDP),71.80100634
ALB,Merchandise exports (current US$),1917000000
ALB,Commercial service exports (current US$),2206245782
DZA,Imports of goods and services (% of GDP),32.67648091
DZA,Exports of goods and services (% of GDP),20.52814168
DZA,Trade (% of GDP),53.20462259
DZA,Merchandise exports (current US$),34668000000
DZA,Commercial service exports (current US$),3394622099
ASM,Imports of goods and services (% of GDP),98.81129272
ASM,Exports of goods and services (% of GDP),63.59583952
ASM,Trade (% of GDP),162.4071322
ASM,Merchandise exports (current US$),379000000
ASM,Commercial service exports (current US$),
AND,Imports of goods and services (% of GDP),
AND,Exports of goods and services (% of GDP),
AND,Trade (% of GDP),
AND,Merchandise exports (current US$),90000000
AND,Commercial service exports (current US$),
AGO,Imports of goods and services (% of GDP),33.13391814
AGO,Exports of goods and services (% of GDP),29.75459795
AGO,Trade (% of GDP),62.88851609
AGO,Merchandise exports (current US$),33181000000
AGO,Commercial service exports (current US$),1256163318
ATG,Imports of goods and services (% of GDP),59.35588907
ATG,Exports of goods and services (% of GDP),70.69120079
ATG,Trade (% of GDP),130.0470899
ATG,Merchandise exports (current US$),66000000
ATG,Commercial service exports (current US$),947493175.9
ARG,Imports of goods and services (% of GDP),11.78057404
ARG,Exports of goods and services (% of GDP),10.70565205
ARG,Trade (% of GDP),22.48622609
ARG,Merchandise exports (current US$),56784000000
ARG,Commercial service exports (current US$),13005539727
ARM,Imports of goods and services (% of GDP),41.95668313
ARM,Exports of goods and services (% of GDP),29.72539121
ARM,Trade (% of GDP),71.68207434
ARM,Merchandise exports (current US$),1485000000
ARM,Commercial service exports (current US$),1484846204
ABW,Imports of goods and services (% of GDP),72.98075045
ABW,Exports of goods and services (% of GDP),72.85291285
ABW,Trade (% of GDP),145.8336633
ABW,Merchandise exports (current US$),330000000
ABW,Commercial service exports (current US$),2089917798
AUS,Imports of goods and services (% of GDP),21.53615394
AUS,Exports of goods and services (% of GDP),20.05812647
AUS,Trade (% of GDP),41.59428041
AUS,Merchandise exports (current US$),1.88E+11
AUS,Commercial service exports (current US$),54216352047
AUT,Imports of goods and services (% of GDP),49.33825483
AUT,Exports of goods and services (% of GDP),53.08906056
AUT,Trade (% of GDP),102.4273154
AUT,Merchandise exports (current US$),1.53E+11
AUT,Commercial service exports (current US$),58569564730
AZE,Imports of goods and services (% of GDP),34.80673042
AZE,Exports of goods and services (% of GDP),37.79477749
AZE,Trade (% of GDP),72.60150791
AZE,Merchandise exports (current US$),16592000000
AZE,Commercial service exports (current US$),4423067000
BHS,Imports of goods and services (% of GDP),37.12934484
BHS,Exports of goods and services (% of GDP),36.33769995
BHS,Trade (% of GDP),73.46704478
BHS,Merchandise exports (current US$),443000000
BHS,Commercial service exports (current US$),2850185457
BHR,Imports of goods and services (% of GDP),71.65060855
BHR,Exports of goods and services (% of GDP),82.90638896
BHR,Trade (% of GDP),154.5569975
BHR,Merchandise exports (current US$),16540000000
BHR,Commercial service exports (current US$),9112500000
BGD,Imports of goods and services (% of GDP),24.74932252
BGD,Exports of goods and services (% of GDP),17.33667379
BGD,Trade (% of GDP),42.08599631
BGD,Merchandise exports (current US$),32379000000
BGD,Commercial service exports (current US$),1676663306
BRB,Imports of goods and services (% of GDP),47.15209475
BRB,Exports of goods and services (% of GDP),39.93320609
BRB,Trade (% of GDP),87.08530084
BRB,Merchandise exports (current US$),483000000
BRB,Commercial service exports (current US$),1385956486
BLR,Imports of goods and services (% of GDP),57.90345901
BLR,Exports of goods and services (% of GDP),58.01023245
BLR,Trade (% of GDP),115.9136915
BLR,Merchandise exports (current US$),26758000000
BLR,Commercial service exports (current US$),6662400000
BEL,Imports of goods and services (% of GDP),76.38726436
BEL,Exports of goods and services (% of GDP),77.80528215
BEL,Trade (% of GDP),154.1925465
BEL,Merchandise exports (current US$),3.97E+11
BEL,Commercial service exports (current US$),1.07E+11
BLZ,Imports of goods and services (% of GDP),52.4655757
BLZ,Exports of goods and services (% of GDP),51.52884275
BLZ,Trade (% of GDP),103.9944185
BLZ,Merchandise exports (current US$),538000000
BLZ,Commercial service exports (current US$),468157180.1
BEN,Imports of goods and services (% of GDP),32.03586197
BEN,Exports of goods and services (% of GDP),24.72045121
BEN,Trade (% of GDP),56.75631318
BEN,Merchandise exports (current US$),1682000000
BEN,Commercial service exports (current US$),334570172.9
BMU,Imports of goods and services (% of GDP),23.32465906
BMU,Exports of goods and services (% of GDP),49.97083946
BMU,Trade (% of GDP),73.29549852
BMU,Merchandise exports (current US$),22000000
BMU,Commercial service exports (current US$),1179385312
BTN,Imports of goods and services (% of GDP),58.98987324
BTN,Exports of goods and services (% of GDP),32.01767979
BTN,Trade (% of GDP),91.00755302
BTN,Merchandise exports (current US$),549000000
BTN,Commercial service exports (current US$),123531295.4
BOL,Imports of goods and services (% of GDP),37.06454916
BOL,Exports of goods and services (% of GDP),30.86829603
BOL,Trade (% of GDP),67.93284519
BOL,Merchandise exports (current US$),8726000000
BOL,Commercial service exports (current US$),1221028379
BIH,Imports of goods and services (% of GDP),53.17711421
BIH,Exports of goods and services (% of GDP),35.11487563
BIH,Trade (% of GDP),88.29198984
BIH,Merchandise exports (current US$),5098000000
BIH,Commercial service exports (current US$),1677584445
BWA,Imports of goods and services (% of GDP),59.80999367
BWA,Exports of goods and services (% of GDP),53.09089734
BWA,Trade (% of GDP),112.900891
BWA,Merchandise exports (current US$),6316000000
BWA,Commercial service exports (current US$),838555923.8
BRA,Imports of goods and services (% of GDP),14.05343452
BRA,Exports of goods and services (% of GDP),12.90019142
BRA,Trade (% of GDP),26.95362594
BRA,Merchandise exports (current US$),1.87E+11
BRA,Commercial service exports (current US$),32886125184
VGB,Imports of goods and services (% of GDP),
VGB,Exports of goods and services (% of GDP),
VGB,Trade (% of GDP),
VGB,Merchandise exports (current US$),
VGB,Commercial service exports (current US$),
BRN,Imports of goods and services (% of GDP),37.68319271
BRN,Exports of goods and services (% of GDP),52.21059737
BRN,Trade (% of GDP),89.89379008
BRN,Merchandise exports (current US$),6353000000
BRN,Commercial service exports (current US$),629168302.5
BGR,Imports of goods and services (% of GDP),62.92836755
